00412363013170090017381873;17381873;cwb_1211_tam_1312260;2013-11-12;0003;412363;CARGOLIFT LOGISTICA S/A;R ARTHUR MARTINS FRANCO 880;;81350100;CIDADE INDUSTRIAL;CURITIBA;PR;03103519000193;06327259000193; 
00412363013170090017385025;17385025;cwb_1211_tam_1312260;2013-11-12;0003;412363;CARGOLIFT LOGISTICA S/A;R ARTHUR MARTINS FRANCO 880;;81350100;CIDADE INDUSTRIAL;CURITIBA;PR;03103519000193;06327259000193; 
01316234013170090017384048;17384048;cwb_1211_tam_1312260;2013-11-12;0003;1316234;INSTITUTO CARGOLIFT;R ARTHUR MARTINS FRANCO 880;;81350100;CIDADE INDUSTRIAL;CURITIBA;PR;03103519000193;06327259000193; 
08014401013170090017386344;17386344;cwb_1211_tam_1312260;2013-11-12;0003;8014401;FURUKAWA INDUSTRIAL S/A-PRODS.ELETRICOS;R HASDRUBAL BELLEGARD 820;;81460120;CIDADE INDUSTRIAL;CURITIBA;PR;03103519000193;06327259000193; 
00772457013170090017385145;17385145;cwb_1211_tam_1312260;2013-11-12;0003;772457;D P S DISTRIBUIDORA DE PECAS SANTOS LTDA;R BOM JESUS DE IGUAPE 2884;;81650030;VL HAUER;CURITIBA;PR;03103519000193;06327259000193; 
01354483013170090017386069;17386069;cwb_1211_tam_1312260;2013-11-12;0003;1354483;MAZER INDUSTRIA DISTRIBUIDORA LTDA;R BARTOLOMEU LOURENCO DE GUSMAO 2027;;81650050;BOQUEIRAO;CURITIBA;PR;03103519000193;06327259000193; 
00846909013170090017385294;17385294;cwb_1211_tam_1312260;2013-11-12;0003;846909;JOSE CARLOS SKRZYSZOWSKI JUNIOR ADVOG A;RDV BR 116 11550;;81690100;JARDIM BOTANICO;CURITIBA;PR;03103519000193;06327259000193; 
01381341013170090017422355;17422355;cwb_1211_tam_1312260;2013-11-12;0003;1381341;SERVOPA S/A COMERCIO E INDUSTRIA;RDV BR 116 21130;;81690400;PINHEIRINHO;CURITIBA;PR;03103519000193;06327259000193; 
01381341013170090017423104;17423104;cwb_1211_tam_1312260;2013-11-12;0003;1381341;SERVOPA S/A COMERCIO E INDUSTRIA;RDV BR 116 21130;;81690400;PINHEIRINHO;CURITIBA;PR;03103519000193;06327259000193; 
01381341013170090017411201;17411201;cwb_1211_tam_1312260;2013-11-12;0003;1381341;SERVOPA S/A COMERCIO E INDUSTRIA;RDV BR 116 21130;;81690400;PINHEIRINHO;CURITIBA;PR;03103519000193;06327259000193; 
00824202013170090017372255;17372255;cwb_1211_tam_1312260;2013-11-12;0003;824202;MAXXAM METAL PLASTICOS IND E COM LTDA;R ARY CLAUDINO ZIEMER 425;;81870050;PINHEIRINHO;CURITIBA;PR;03103519000193;06327259000193; 
00537758013170090017381966;17381966;cwb_1211_tam_1312260;2013-11-12;0003;537758;EDIFICACOES DE CONTO LTDA;R NICOLA PELANDA 180;1 ANDAR;81880000;UMBARA;CURITIBA;PR;03103519000193;06327259000193; 
00923839013170090017382609;17382609;cwb_1211_tam_1312260;2013-11-12;0003;923839;LAB DE ANALISES CLS DAS NACOES LTDA;AV MAL HUMBERTO DE ALENCAR C BRANCO 69;;82530020;CRISTO REI;CURITIBA;PR;03103519000193;06327259000193; 
08005587013170090017386286;17386286;cwb_1211_tam_1312260;2013-11-12;0003;8005587;REDISUL INFORMATICA LTDA;R RAPHAEL PAPA 75;;82530190;JARDIM SOCIAL;CURITIBA;PR;03103519000193;06327259000193; 
